PeakId,Mass,Start,Stop,RT,MDGC,RT1tr,RT2tr,Area,Height,Width,Area_Percent,SampleFileName,CompoundName,Group,Type,Formula,MF,RMF,Probability,MW,ExactMass,CASNO,NISTNO,ID,Library,OtherDBS,Contributor,TenLargestPeaks,Synonyms,StructureDiagram,SignalToNoiseRatio
67,TIC,22.6274,22.8579,22.7159,TRUE,19.503382,0.644543,1.75E+06,72229,0.2305,0.781147168,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Undecane,,0,C11H24,759,796,42,156,156.188,1120-21-4,114185,269186725,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","NIST Mass Spectrometry Data Center, 1990.",,,,0
68,TIC,22.6274,22.8579,22.7159,TRUE,19.503382,0.644543,1.75E+06,72229,0.2305,0.781147168,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Undecane,,0,C11H24,756,793,42,156,156.188,1120-21-4,107774,269160657,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","Chuck Anderson, Aldrich Chemical Co.",,,,0
69,TIC,22.6274,22.8579,22.7159,TRUE,19.503382,0.644543,1.75E+06,72229,0.2305,0.781147168,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Dodecane,,0,C12H26,742,815,9,170,170.203,112-40-3,22004,270393395,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",,,,,0
70,TIC,22.8666,23.0203,22.9366,TRUE,19.541027,1.360502,2.92E+05,10366,0.1537,0.130315395,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Nonanal,,0,C9H18O,770,797,54,142,142.136,124-19-6,376692,269505127,mainlib|replib,"Fine, TSCA, RTECS, HODOC, NIH, EINECS, IR","V.G. Zaikin, R.S.Borisov, TIPS RAS, Moscow, Russia",,,,0
71,TIC,22.8666,23.0203,22.9366,TRUE,19.541027,1.360502,2.92E+05,10366,0.1537,0.130315395,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Nonanal,,0,C9H18O,769,786,54,142,142.136,124-19-6,21202,270610439,mainlib|replib,"Fine, TSCA, RTECS, HODOC, NIH, EINECS, IR",,,,,0
72,TIC,22.8666,23.0203,22.9366,TRUE,19.541027,1.360502,2.92E+05,10366,0.1537,0.130315395,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Nonanal,,0,C9H18O,759,780,54,142,142.136,124-19-6,232162,38629678,mainlib|replib,"Fine, TSCA, RTECS, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-3675,,,,0
73,TIC,22.8666,23.0203,22.9366,TRUE,19.541027,1.360502,2.92E+05,10366,0.1537,0.130315395,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Nonanal,,0,C9H18O,753,774,54,142,142.136,124-19-6,159565,274458344,mainlib|replib,"Fine, TSCA, RTECS, HODOC, NIH, EINECS, IR",Chemical Concepts,,,,0
74,TIC,22.8666,23.0203,22.9366,TRUE,19.541027,1.360502,2.92E+05,10366,0.1537,0.130315395,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Dodecanal,,0,C12H24O,711,731,9,184,184.183,112-54-9,62893,269158032,mainlib|replib,"Fine, TSCA, RTECS, HODOC, NIH, EINECS, IR","D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY",,,,0
75,TIC,23.3628,23.555,23.4606,TRUE,20.253843,0.620127,4.82E+05,16397,0.1922,0.215412564,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Pulegone,,0,C10H16O,723,730,16,152,152.12,89-82-7,227961,58994465,mainlib|replib,"Fine, TSCA, RTECS, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-IW-1347,,,,0
76,TIC,23.3628,23.555,23.4606,TRUE,20.253843,0.620127,4.82E+05,16397,0.1922,0.215412564,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"Bicyclo[4.1.0]heptan-3-one, 4,7,7-trimethyl-, [1R-(1α,4β,6α)]-",,0,C10H16O,709,745,10,152,152.12,4176-01-06,4824,10766234,mainlib|replib,EINECS,,,,,0
77,TIC,23.3628,23.555,23.4606,TRUE,20.253843,0.620127,4.82E+05,16397,0.1922,0.215412564,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"Cyclohexanone, 5-methyl-2-(1-methylethylidene)-",,0,C10H16O,706,733,9,152,152.12,15932-80-6,193441,271196915,mainlib|replib,"TSCA, RTECS, HODOC, EINECS, IR",Chemical Concepts,,,,0
78,TIC,23.3628,23.555,23.4606,TRUE,20.253843,0.620127,4.82E+05,16397,0.1922,0.215412564,20220722_DL_Sh7_1_TBaAc_16eV.lsc,trans-4a-Methyl-decahydronaphthalene,,0,C11H20,703,753,8,152,152.157,2547-27-5,280744,50987106,mainlib|replib,,"V.G.Zaikin, Petrochem. Synth. Inst., Moscow",,,,0
79,TIC,23.3628,23.555,23.4606,TRUE,20.253843,0.620127,4.82E+05,16397,0.1922,0.215412564,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"trans-Decalin, 2-methyl-",,0,C11H20,701,718,7,152,152.157,,152473,14051825,mainlib|replib,,Chemical Concepts,,,,0
80,TIC,23.9386,24.0926,24.0034,TRUE,22.375194,0.810864,6.23E+05,22465,0.1539,0.278631258,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"Bicyclo[4.1.0]heptan-3-one, 4,7,7-trimethyl-, [1R-(1α,4β,6α)]-",,0,C10H16O,711,740,15,152,152.12,4176-01-06,4824,10766234,mainlib|replib,EINECS,,,,,0
81,TIC,23.9386,24.0926,24.0034,TRUE,22.375194,0.810864,6.23E+05,22465,0.1539,0.278631258,20220722_DL_Sh7_1_TBaAc_16eV.lsc,trans-4a-Methyl-decahydronaphthalene,,0,C11H20,704,744,11,152,152.157,2547-27-5,280744,50987106,mainlib|replib,,"V.G.Zaikin, Petrochem. Synth. Inst., Moscow",,,,0
82,TIC,24.0482,24.1249,24.0866,TRUE,22.704859,0.663994,2.66E+05,11026,0.0767,0.119030674,20220722_DL_Sh7_1_TBaAc_16eV.lsc,1-Tetradecanol,,0,C14H30O,747,790,15,214,214.23,112-72-1,229367,272505727,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-2665,,,,0
83,TIC,24.0482,24.1249,24.0866,TRUE,22.704859,0.663994,2.66E+05,11026,0.0767,0.119030674,20220722_DL_Sh7_1_TBaAc_16eV.lsc,1-Tetradecanol,,0,C14H30O,730,787,15,214,214.23,112-72-1,414973,275081576,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",NIST Mass Spectrometry Data Center,,,,0
84,TIC,24.0482,24.1249,24.0866,TRUE,22.704859,0.663994,2.66E+05,11026,0.0767,0.119030674,20220722_DL_Sh7_1_TBaAc_16eV.lsc,1-Tetradecanol,,0,C14H30O,729,769,15,214,214.23,112-72-1,374906,272533439,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","NIST Mass Spectrometry Data Center, 2010",,,,0
85,TIC,24.0482,24.1249,24.0866,TRUE,22.704859,0.663994,2.66E+05,11026,0.0767,0.119030674,20220722_DL_Sh7_1_TBaAc_16eV.lsc,1-Tetradecanol,,0,C14H30O,729,756,15,214,214.23,112-72-1,36332,274216426,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","R.T.HOLMAN,UNIVERSITY OF MINNESOTA",,,,0
86,TIC,24.0482,24.1249,24.0866,TRUE,22.704859,0.663994,2.66E+05,11026,0.0767,0.119030674,20220722_DL_Sh7_1_TBaAc_16eV.lsc,1-Hexadecanol,,0,C16H34O,727,774,6,242,242.261,36653-82-4,414975,270689342,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",NIST Mass Spectrometry Data Center,,,,0
87,TIC,24.5823,24.8129,24.6698,TRUE,22.916395,1.210395,3.24E+05,16899,0.2307,0.145021754,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"Undecane, 2-methyl-",,0,C12H26,730,766,26,170,170.203,7045-71-8,232057,50983570,mainlib|replib,"Fine, HODOC, EINECS",Japan AIST/NIMC Database- Spectrum MS-NW-3862,,,,0
88,TIC,24.5823,24.8129,24.6698,TRUE,22.916395,1.210395,3.24E+05,16899,0.2307,0.145021754,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Heptadecane,,0,C17H36,700,748,7,240,240.282,629-78-7,22871,271087170,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",,,,,0
89,TIC,25.4275,25.62,25.5159,TRUE,23.442519,1.083179,9.83E+05,22500,0.1925,0.439245803,20220722_DL_Sh7_1_TBaAc_16eV.lsc,1-Dodecanol,Alcohol16eV,0,C12H26O,796,837,12,186,186.198,112-53-8,403152,271404149,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","J. Little, Eastman chemical company.",,,,0
90,TIC,25.4275,25.62,25.5159,TRUE,23.442519,1.083179,9.83E+05,22500,0.1925,0.439245803,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Cyclododecane,Alcohol16eV,0,C12H24,784,827,8,168,168.188,294-62-2,423903,271698870,mainlib|replib,"Fine, TSCA, RTECS, HODOC, EINECS, IR","YAMAMOTO M, DEP. CHEMISTRY, FAC. SCIENCE, NARA WOMEN'S UNIV.; Used with permission, courtesy of Funatsu Laboratory, University of Tokyo.The copyright reserved by Funatsu Laboratory.",,,,0
91,TIC,25.4275,25.62,25.5159,TRUE,23.442519,1.083179,9.83E+05,22500,0.1925,0.439245803,20220722_DL_Sh7_1_TBaAc_16eV.lsc,n-Pentadecanol,Alcohol16eV,0,C15H32O,782,804,7,228,228.245,629-76-5,430447,275055316,mainlib|replib,"Fine, TSCA, HODOC, NIH, EINECS, IR","YAMAMOTO M, DEP. CHEMISTRY, FAC. SCIENCE, NARA WOMEN'S UNIV.; Used with permission, courtesy of Funatsu Laboratory, University of Tokyo.The copyright reserved by Funatsu Laboratory.",,,,0
92,TIC,25.4275,25.62,25.5159,TRUE,23.442519,1.083179,9.83E+05,22500,0.1925,0.439245803,20220722_DL_Sh7_1_TBaAc_16eV.lsc,1-Tetradecanol,Alcohol16eV,0,C14H30O,782,797,7,214,214.23,112-72-1,374906,272533439,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","NIST Mass Spectrometry Data Center, 2010",,,,0
93,TIC,25.4275,25.62,25.5159,TRUE,23.442519,1.083179,9.83E+05,22500,0.1925,0.439245803,20220722_DL_Sh7_1_TBaAc_16eV.lsc,1-Tetradecanol,Alcohol16eV,0,C14H30O,781,816,7,214,214.23,112-72-1,414973,275081576,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",NIST Mass Spectrometry Data Center,,,,0
94,TIC,25.6559,25.8484,25.7474,TRUE,23.562989,0.647097,2.66E+06,1.10E+05,0.1926,1.187177335,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Dodecane,,0,C12H26,796,835,54,170,170.203,112-40-3,229003,271007862,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-2010,,,,0
95,TIC,25.6559,25.8484,25.7474,TRUE,23.562989,0.647097,2.66E+06,1.10E+05,0.1926,1.187177335,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Dodecane,,0,C12H26,761,785,54,170,170.203,112-40-3,291499,1741678,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","NIST Mass Spectrometry Data Center, 1998.",,,,0
96,TIC,25.6559,25.8484,25.7474,TRUE,23.562989,0.647097,2.66E+06,1.10E+05,0.1926,1.187177335,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Dodecane,,0,C12H26,756,788,54,170,170.203,112-40-3,107687,270981080,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","Chuck Anderson, Aldrich Chemical Co.",,,,0
97,TIC,25.6559,25.8484,25.7474,TRUE,23.562989,0.647097,2.66E+06,1.10E+05,0.1926,1.187177335,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Dodecane,,0,C12H26,753,805,54,170,170.203,112-40-3,22004,270393395,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",,,,,0
98,TIC,25.6559,25.8484,25.7474,TRUE,23.562989,0.647097,2.66E+06,1.10E+05,0.1926,1.187177335,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Tridecane,,0,C13H28,723,785,7,184,184.219,629-50-5,229227,270687638,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-5091,,,,0
99,TIC,25.6824,26.0291,25.7712,TRUE,23.984513,1.132557,1.84E+06,41233,0.3467,0.824629686,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Allopurinol,,0,C5H4N4O,730,773,29,136,136.039,315-30-0,335108,269706300,mainlib|replib,"Fine, TSCA, RTECS, USP, HODOC, NIH, EINECS",Drug Lab,,,,0
100,TIC,25.6824,26.0291,25.7712,TRUE,23.984513,1.132557,1.84E+06,41233,0.3467,0.824629686,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Allopurinol,,0,C5H4N4O,720,745,29,136,136.039,315-30-0,230398,3298943,mainlib|replib,"Fine, TSCA, RTECS, USP, HODOC, NIH, EINECS",Japan AIST/NIMC Database- Spectrum MS-NW-3779,,,,0
101,TIC,25.6824,26.0291,25.7712,TRUE,23.984513,1.132557,1.84E+06,41233,0.3467,0.824629686,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Naphthalene-D8,,0,C10D8,716,728,18,136,136.113,1146-65-2,70742,271151370,mainlib|replib,"EINECS, IR",BATTELLE COLUMBUS LABORATORIES,,,,0
102,TIC,25.6824,26.0291,25.7712,TRUE,23.984513,1.132557,1.84E+06,41233,0.3467,0.824629686,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Allopurinol,,0,C5H4N4O,715,738,29,136,136.039,315-30-0,160696,269758857,mainlib|replib,"Fine, TSCA, RTECS, USP, HODOC, NIH, EINECS",Chemical Concepts,,,,0
103,TIC,25.6824,26.0291,25.7712,TRUE,23.984513,1.132557,1.84E+06,41233,0.3467,0.824629686,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Allopurinol,,0,C5H4N4O,707,731,29,136,136.039,315-30-0,26100,269172124,mainlib|replib,"Fine, TSCA, RTECS, USP, HODOC, NIH, EINECS","R.L.FOLTZ BATTELLE MEMORIAL INST., COLUMBUS LAB., OHIO, USA",,,,0
104,TIC,26.0769,26.2696,26.1464,TRUE,24.0108,0.873682,1.67E+06,70246,0.1927,0.748403008,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"Undecane, 2,6-dimethyl-",,0,C13H28,743,793,16,184,184.219,17301-23-4,114012,52674249,mainlib|replib,"HODOC, IR","NIST Mass Spectrometry Data Center, 1990.",,,,0
105,TIC,26.0769,26.2696,26.1464,TRUE,24.0108,0.873682,1.67E+06,70246,0.1927,0.748403008,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"Undecane, 2,6-dimethyl-",,0,C13H28,741,756,16,184,184.219,17301-23-4,7748,269373658,mainlib|replib,"HODOC, IR",,,,,0
106,TIC,26.0769,26.2696,26.1464,TRUE,24.0108,0.873682,1.67E+06,70246,0.1927,0.748403008,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"Undecane, 2,5-dimethyl-",,0,C13H28,733,761,11,184,184.219,17301-22-3,34614,36977606,mainlib|replib,,"TECH. UNIVERSITY OF KARLSRUHE, KARLSRUHE, W. GERMANY",,,,0
107,TIC,26.0769,26.2696,26.1464,TRUE,24.0108,0.873682,1.67E+06,70246,0.1927,0.748403008,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Tetradecane,,0,C14H30,730,764,10,198,198.235,629-59-4,229858,17258141,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-2814,,,,0
108,TIC,26.0769,26.2696,26.1464,TRUE,24.0108,0.873682,1.67E+06,70246,0.1927,0.748403008,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Tridecane,,0,C13H28,727,757,9,184,184.219,629-50-5,229227,270687638,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-5091,,,,0
109,TIC,27.266,27.3815,27.3235,TRUE,24.073333,0.79431,3.51E+05,10284,0.1154,0.156884988,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Tridecane,,0,C13H28,700,738,10,184,184.219,629-50-5,107767,270661174,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","Chuck Anderson, Aldrich Chemical Co.",,,,0
110,TIC,27.4958,27.6882,27.5905,TRUE,24.392294,0.658421,3.91E+05,17396,0.1923,0.174828429,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"Dodecane, 2-methyl-",,0,C13H28,712,730,8,184,184.219,1560-97-0,227568,272421306,mainlib|replib,,Japan AIST/NIMC Database- Spectrum MS-IW-1909,,,,0
111,TIC,27.4958,27.6882,27.5905,TRUE,24.392294,0.658421,3.91E+05,17396,0.1923,0.174828429,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Hexadecane,,0,C16H34,711,741,8,226,226.266,544-76-3,228773,41676896,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-1507,,,,0
112,TIC,27.4958,27.6882,27.5905,TRUE,24.392294,0.658421,3.91E+05,17396,0.1923,0.174828429,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Octadecane,,0,C18H38,704,739,6,254,254.297,593-45-3,233832,272928152,mainlib|replib,"Fine, TSCA, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-1995,,,,0
113,TIC,27.4958,27.6882,27.5905,TRUE,24.392294,0.658421,3.91E+05,17396,0.1923,0.174828429,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Heptadecane,,0,C17H36,704,736,6,240,240.282,629-78-7,228254,3145406,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-2741,,,,0
114,TIC,27.4958,27.6882,27.5905,TRUE,24.392294,0.658421,3.91E+05,17396,0.1923,0.174828429,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Pentadecane,,0,C15H32,703,730,6,212,212.25,629-62-9,232906,22447688,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-5200,,,,0
115,TIC,27.7259,27.8411,27.7911,TRUE,24.525168,0.65638,5.04E+05,20599,0.1152,0.225279252,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"Dodecane, 3-methyl-",,0,C13H28,716,812,12,184,184.219,17312-57-1,7751,271593866,mainlib|replib,,,,,,0
116,TIC,27.7259,27.8411,27.7911,TRUE,24.525168,0.65638,5.04E+05,20599,0.1152,0.225279252,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Tetradecane,,0,C14H30,712,757,10,198,198.235,629-59-4,229858,17258141,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-2814,,,,0
117,TIC,27.7259,27.8411,27.7911,TRUE,24.525168,0.65638,5.04E+05,20599,0.1152,0.225279252,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Heptadecane,,0,C17H36,701,742,7,240,240.282,629-78-7,228254,3145406,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-2741,,,,0
118,TIC,27.802,27.9175,27.8497,TRUE,24.658906,0.651211,1.01E+06,58663,0.1155,0.451784049,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"Pentadecane, 2,6,10,14-tetramethyl-",,0,C19H40,735,760,29,268,268.313,1921-70-6,229566,46142538,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-1461,,,,0
119,TIC,27.802,27.9175,27.8497,TRUE,24.658906,0.651211,1.01E+06,58663,0.1155,0.451784049,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"Tridecane, 7-methyl-",,0,C14H30,711,740,9,198,198.235,26730-14-3,34448,45207434,mainlib|replib,"HODOC, NIH","SHELL OIL CO., HOUSTON, TEXAS, USA",,,,0
120,TIC,27.802,27.9175,27.8497,TRUE,24.658906,0.651211,1.01E+06,58663,0.1155,0.451784049,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"Pentadecane, 2,6,10,14-tetramethyl-",,0,C19H40,701,730,29,268,268.313,1921-70-6,149898,273483384,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Chemical Concepts,,,,0
121,TIC,28.3797,28.495,28.4492,TRUE,24.868275,0.665446,5.56E+05,13916,0.1153,0.248607076,20220722_DL_Sh7_1_TBaAc_16eV.lsc,n-Pentadecanol,Alcohol16eV,0,C15H32O,730,786,15,228,228.245,629-76-5,430447,275055316,mainlib|replib,"Fine, TSCA, HODOC, NIH, EINECS, IR","YAMAMOTO M, DEP. CHEMISTRY, FAC. SCIENCE, NARA WOMEN'S UNIV.; Used with permission, courtesy of Funatsu Laboratory, University of Tokyo.The copyright reserved by Funatsu Laboratory.",,,,0
122,TIC,28.3797,28.495,28.4492,TRUE,24.868275,0.665446,5.56E+05,13916,0.1153,0.248607076,20220722_DL_Sh7_1_TBaAc_16eV.lsc,1-Octadecanol,Alcohol16eV,0,C18H38O,713,767,8,270,270.292,112-92-5,430927,274268316,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","SODA AROMATIC CO., LTD.; Used with permission, courtesy of Funatsu Laboratory, University of Tokyo.The copyright reserved by Funatsu Laboratory.",,,,0
123,TIC,28.3797,28.495,28.4492,TRUE,24.868275,0.665446,5.56E+05,13916,0.1153,0.248607076,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Cyclopentadecane,Alcohol16eV,0,C15H30,705,768,6,210,210.235,295-48-7,114876,271006801,mainlib|replib,"TSCA, HODOC, EINECS, IR","NIST Mass Spectrometry Data Center, 1990.",,,,0
124,TIC,28.3797,28.495,28.4492,TRUE,24.868275,0.665446,5.56E+05,13916,0.1153,0.248607076,20220722_DL_Sh7_1_TBaAc_16eV.lsc,n-Pentadecanol,Alcohol16eV,0,C15H32O,704,738,15,228,228.245,629-76-5,351791,10539793,mainlib|replib,"Fine, TSCA, HODOC, NIH, EINECS, IR",NIST Mass Spectrometry Data Center,,,,0
125,TIC,28.3797,28.495,28.4492,TRUE,24.868275,0.665446,5.56E+05,13916,0.1153,0.248607076,20220722_DL_Sh7_1_TBaAc_16eV.lsc,1-Hexadecanol,Alcohol16eV,0,C16H34O,702,749,5,242,242.261,36653-82-4,414975,270689342,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",NIST Mass Spectrometry Data Center,,,,0
126,TIC,28.4571,28.5723,28.5127,TRUE,25.50292,0.778982,4.33E+05,13249,0.1152,0.193751345,20220722_DL_Sh7_1_TBaAc_16eV.lsc,n-Pentadecanol,LinearAlcohol16eV,0,C15H32O,723,777,21,228,228.245,629-76-5,430447,275055316,mainlib|replib,"Fine, TSCA, HODOC, NIH, EINECS, IR","YAMAMOTO M, DEP. CHEMISTRY, FAC. SCIENCE, NARA WOMEN'S UNIV.; Used with permission, courtesy of Funatsu Laboratory, University of Tokyo.The copyright reserved by Funatsu Laboratory.",,,,0
127,TIC,28.531,28.6851,28.616,TRUE,25.582926,1.061997,4.00E+06,1.66E+05,0.1541,1.786095716,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Tridecane,,0,C13H28,774,810,34,184,184.219,629-50-5,229227,270687638,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-5091,,,,0
128,TIC,28.531,28.6851,28.616,TRUE,25.582926,1.061997,4.00E+06,1.66E+05,0.1541,1.786095716,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Pentadecane,,0,C15H32,748,778,10,212,212.25,629-62-9,232906,22447688,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-5200,,,,0
129,TIC,28.531,28.6851,28.616,TRUE,25.582926,1.061997,4.00E+06,1.66E+05,0.1541,1.786095716,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Tridecane,,0,C13H28,746,784,34,184,184.219,629-50-5,107767,270661174,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","Chuck Anderson, Aldrich Chemical Co.",,,,0
130,TIC,28.531,28.6851,28.616,TRUE,25.582926,1.061997,4.00E+06,1.66E+05,0.1541,1.786095716,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Tridecane,,0,C13H28,744,793,34,184,184.219,629-50-5,114282,274625666,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","NIST Mass Spectrometry Data Center, 1990.",,,,0
131,TIC,28.531,28.6851,28.616,TRUE,25.582926,1.061997,4.00E+06,1.66E+05,0.1541,1.786095716,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Tridecane,,0,C13H28,743,778,34,184,184.219,629-50-5,34726,270635341,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","CONTINENTAL OIL CO., PONCA CITY, OKLA, USA",,,,0
132,TIC,28.9783,29.2081,29.0778,TRUE,25.736157,0.672237,8.19E+05,22131,0.2297,0.36610402,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"Naphthalene, 2-methyl-",,0,C11H10,775,783,81,142,142.078,91-57-6,228330,271606292,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-1755,,,,0
133,TIC,28.9783,29.2081,29.0778,TRUE,25.736157,0.672237,8.19E+05,22131,0.2297,0.36610402,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"Naphthalene, 2-methyl-",,0,C11H10,703,708,81,142,142.078,91-57-6,21191,271578253,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",,,,,0
134,TIC,29.0295,29.1829,29.1208,TRUE,25.733861,2.242729,5.75E+05,24446,0.1534,0.256887854,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Tetradecane,,0,C14H30,720,768,18,198,198.235,629-59-4,229858,17258141,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-2814,,,,0
135,TIC,29.0295,29.1829,29.1208,TRUE,25.733861,2.242729,5.75E+05,24446,0.1534,0.256887854,20220722_DL_Sh7_1_TBaAc_16eV.lsc,Pentadecane,,0,C15H32,700,727,8,212,212.25,629-62-9,232906,22447688,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-5200,,,,0
